Year,Region,CRM Adoption Rate (%),AI Market CAGR (%),TAM (USD Million),SAM (USD Million),SOM (USD Million),SaaS Revenue (USD Million),Custom Modules Revenue (USD Million),Data Insights Revenue (USD Million),Total Revenue (USD Million),Development Cost (USD Million),Maintenance Cost (USD Million),Marketing Cost (USD Million),Total Cost (USD Million),Profit Margin (%),Lead Conversion Rate (%),Customer Satisfaction Rate (%),Average Revenue Per Customer (USD),Customer Churn Rate (%)
2028,Europe,48.4,27.93,9419,1405,880,2.6,0.32,1.89,4.81,0.58,0.84,0.59,2.01,58.21,15.96,71.64,1534.58,3.14
2025,North America,29.74,16.7,18992,3610,1669,0.82,1.43,1.5,3.75,1.35,0.9,0.6,2.85,24.0,9.62,72.23,4374.09,6.19
2024,Middle East,35.89,27.67,6309,2193,894,3.48,0.61,1.65,5.74,2.4,0.45,0.56,3.41,40.59,23.2,88.11,1166.49,9.17
2024,Europe,10.85,15.93,7485,1647,1047,2.79,0.29,1.15,4.23,2.71,0.69,0.17,3.57,15.6,29.36,88.64,4160.47,2.0
2026,North America,10.76,27.99,12790,4330,816,3.6,0.95,0.19,4.74,2.5,0.78,0.8,4.08,13.92,9.47,83.81,3824.35,9.1
2024,Middle East,37.59,19.04,16452,3149,516,0.75,0.44,0.18,1.37,2.71,0.74,0.43,3.88,-183.21,19.78,77.33,566.21,3.74
2024,Asia-Pacific,31.21,27.15,13574,2031,1967,1.98,1.88,1.72,5.58,1.53,0.9,0.53,2.96,46.95,21.28,89.37,212.9,6.21
2026,Middle East,14.27,28.23,13025,2533,994,1.54,2.04,1.13,4.71,1.99,0.3,0.5,2.79,40.76,18.13,75.17,3585.23,4.76
2026,Asia-Pacific,19.7,18.4,8852,1538,766,2.75,2.81,1.01,6.57,1.77,0.72,0.58,3.07,53.27,15.07,82.88,2811.38,6.51
2024,North America,47.97,30.09,9523,2835,1301,2.55,0.38,0.59,3.52,1.14,0.37,0.65,2.16,38.64,22.97,79.67,1143.58,6.87
2024,Asia-Pacific,41.74,30.77,10317,4498,726,1.02,1.51,1.05,3.58,0.92,0.31,0.31,1.54,56.98,10.98,81.52,3063.85,9.5
2026,Middle East,15.31,28.81,18874,2136,529,3.41,1.14,0.67,5.22,0.94,0.86,0.54,2.34,55.17,29.09,77.69,1099.05,7.94
2028,North America,37.25,18.15,10337,2520,1701,2.18,0.69,1.06,3.93,1.95,0.96,0.13,3.04,22.65,22.26,77.82,3658.8,4.99
2024,North America,25.79,33.72,13021,1475,1603,2.75,0.89,0.54,4.18,1.16,0.71,0.46,2.33,44.26,18.41,86.67,913.8,6.38
2024,North America,40.91,29.67,9897,4285,1900,1.5,1.08,1.46,4.04,1.07,0.22,0.31,1.6,60.4,8.73,94.96,2183.18,2.56
2026,Middle East,11.61,31.31,14655,1061,1113,1.22,0.59,0.78,2.59,0.89,0.63,0.53,2.05,20.85,19.87,91.42,373.49,9.14
2027,Middle East,20.04,30.09,16490,2266,1080,2.93,0.51,1.29,4.73,2.51,0.49,0.41,3.41,27.91,28.15,82.2,1605.66,8.47
2026,Asia-Pacific,27.34,33.54,10700,2705,1083,1.67,0.68,0.81,3.16,1.21,0.93,0.72,2.86,9.49,16.94,80.18,4723.21,4.09
2024,Asia-Pacific,33.2,24.63,18969,3344,1160,1.29,0.91,1.42,3.62,1.18,0.8,0.3,2.28,37.02,15.4,75.03,3806.67,2.06
2025,Asia-Pacific,12.82,26.16,5480,2622,1504,0.6,0.28,1.32,2.2,1.86,0.65,0.53,3.04,-38.18,17.18,77.9,775.05,8.24
2025,Europe,17.46,32.93,13513,4610,1532,0.59,0.71,0.61,1.91,1.87,0.99,0.63,3.49,-82.72,7.11,73.89,4682.87,2.72
2026,Asia-Pacific,10.47,33.5,5745,1049,1172,1.29,1.7,1.38,4.37,2.16,0.32,0.69,3.17,27.46,15.18,76.25,106.35,9.97
2028,North America,28.75,33.05,10877,3320,750,2.66,2.28,0.39,5.33,2.79,0.57,0.17,3.53,33.77,25.4,86.6,4429.48,9.36
2028,Asia-Pacific,36.57,30.84,9443,1496,720,3.47,1.53,0.94,5.94,2.2,0.24,0.79,3.23,45.62,23.95,73.37,4717.4,9.56
2026,North America,29.66,18.44,16429,4655,651,1.58,2.16,0.28,4.02,2.76,0.3,0.34,3.4,15.42,22.64,92.21,560.17,9.56
2028,North America,12.32,22.12,11576,3034,1761,0.55,0.4,0.32,1.27,1.79,0.95,0.75,3.49,-174.8,23.15,91.2,1020.11,5.55
2028,Europe,21.98,32.53,5104,4993,930,1.89,0.96,1.21,4.06,1.65,0.72,0.1,2.47,39.16,21.25,88.94,4996.29,2.82
2024,South America,48.94,31.06,17600,3499,769,0.91,1.32,1.39,3.62,0.96,0.32,0.32,1.6,55.8,12.05,75.21,488.56,4.82
2027,Asia-Pacific,16.91,17.04,10057,4624,1243,0.68,1.57,1.72,3.97,1.48,0.48,0.3,2.26,43.07,22.77,82.92,1760.04,2.74
2026,Middle East,32.31,31.95,11536,4999,1673,4.22,1.77,0.2,6.19,1.11,0.45,0.14,1.7,72.54,11.36,94.51,2135.3,3.72
2028,Asia-Pacific,44.69,21.17,16894,1894,1450,3.38,2.78,0.75,6.91,2.3,0.97,0.79,4.06,41.24,18.21,76.61,3884.39,6.78
2025,Asia-Pacific,13.06,21.19,9303,2689,871,2.55,1.39,1.21,5.15,1.83,0.73,0.63,3.19,38.06,15.18,76.62,470.11,3.81
2026,Middle East,45.65,15.46,10268,2388,941,4.54,2.69,0.31,7.54,1.51,0.71,0.48,2.7,64.19,29.79,77.99,564.84,2.59
2027,North America,13.27,20.59,11369,1886,1267,4.65,1.21,1.73,7.59,1.97,0.82,0.21,3.0,60.47,14.23,77.26,4914.43,7.2
2028,North America,32.24,16.08,7748,4483,838,1.24,0.62,0.62,2.48,2.22,0.84,0.51,3.57,-43.95,13.55,85.87,461.08,6.55
2026,Europe,44.22,33.21,19039,2844,1014,3.15,1.19,0.67,5.01,1.13,0.44,0.29,1.86,62.87,6.71,84.64,1301.99,2.7
2028,Asia-Pacific,37.34,21.72,15930,3524,681,4.74,1.0,0.19,5.93,2.74,0.83,0.12,3.69,37.77,5.74,71.04,4044.45,8.07
2027,South America,10.28,26.15,13100,2738,1439,3.71,0.94,1.56,6.21,1.29,0.8,0.75,2.84,54.27,23.89,81.63,3339.22,2.97
2028,Asia-Pacific,27.05,21.42,7249,1372,1181,1.22,2.88,1.03,5.13,0.82,0.61,0.46,1.89,63.16,28.77,75.85,3669.4,9.88
2024,Asia-Pacific,24.73,19.34,12002,4718,1234,3.72,2.98,1.61,8.31,1.03,0.77,0.27,2.07,75.09,10.75,91.42,2487.12,3.61
2026,South America,15.99,26.63,11372,2464,1190,2.81,2.09,0.34,5.24,2.64,0.57,0.38,3.59,31.49,6.03,72.39,836.36,3.35
2028,Europe,41.07,25.12,16585,4274,1066,2.44,2.63,0.85,5.92,1.1,0.67,0.62,2.39,59.63,7.57,82.78,673.91,7.63
2028,Europe,32.67,22.93,8685,1384,1999,0.87,1.86,1.7,4.43,1.97,0.3,0.53,2.8,36.79,24.51,91.59,582.41,3.19
2026,South America,27.31,24.36,16381,1735,1865,1.94,1.9,0.16,4.0,2.02,1.0,0.6,3.62,9.5,5.02,91.52,1894.79,4.08
2025,South America,38.48,25.48,7635,4512,1318,4.54,1.16,1.57,7.27,1.18,0.28,0.67,2.13,70.7,8.59,91.23,3838.73,5.17
2025,Europe,27.76,33.4,15472,4861,1291,2.48,0.45,1.1,4.03,2.26,0.3,0.26,2.82,30.02,11.57,74.24,4070.04,5.45
2028,South America,23.23,27.59,19191,4534,555,3.22,0.39,1.56,5.17,1.48,0.71,0.53,2.72,47.39,8.67,81.44,3812.88,5.42
2026,Middle East,43.61,27.62,17751,2067,1186,4.08,2.43,0.52,7.03,1.84,0.41,0.68,2.93,58.32,13.01,87.97,4558.67,6.36
2024,Europe,29.58,27.74,11170,3699,1239,4.05,0.36,1.98,6.39,2.02,0.92,0.31,3.25,49.14,28.86,82.97,2536.41,7.79
2025,Middle East,22.14,24.41,14302,1604,828,1.9,1.03,0.72,3.65,1.36,0.73,0.6,2.69,26.3,29.72,72.76,3652.42,4.82
2026,North America,28.61,26.68,8434,1793,1986,1.61,2.19,1.65,5.45,1.57,0.8,0.6,2.97,45.5,28.79,71.75,1032.45,5.85
2026,South America,24.89,27.18,9878,4701,1844,4.7,2.14,0.27,7.11,2.53,0.77,0.25,3.55,50.07,21.9,77.16,1781.34,9.34
2026,Middle East,49.01,34.14,18185,4558,756,4.02,1.24,1.01,6.27,1.05,0.63,0.35,2.03,67.62,10.22,75.44,1467.52,5.28
2028,Middle East,21.04,23.25,11179,4925,1545,2.36,2.08,0.32,4.76,0.93,0.5,0.34,1.77,62.82,29.4,76.12,4062.41,4.56
2026,North America,34.86,19.73,11908,2061,1157,0.97,0.6,0.18,1.75,1.75,0.69,0.69,3.13,-78.86,12.16,73.48,2932.17,4.7
2026,Asia-Pacific,48.28,19.92,18761,3420,1078,2.65,2.6,0.34,5.59,2.93,0.59,0.72,4.24,24.15,6.29,82.46,2370.81,9.38
2026,Europe,47.11,18.74,16639,2637,1995,2.76,0.98,0.57,4.31,2.77,0.54,0.58,3.89,9.74,21.56,71.11,647.29,7.54
2028,North America,46.0,16.47,6035,1606,1431,3.4,2.43,1.01,6.84,2.24,0.62,0.13,2.99,56.29,14.21,71.65,4610.84,9.17
2027,North America,38.05,31.53,9695,2514,967,2.05,1.84,0.23,4.12,1.86,0.29,0.32,2.47,40.05,16.55,90.04,3986.25,2.11
2025,Middle East,46.2,27.77,16867,1657,617,4.71,0.91,1.08,6.7,1.29,0.25,0.55,2.09,68.81,8.42,82.12,4215.28,3.35
2026,North America,35.34,29.89,16065,2705,1169,3.04,2.12,1.65,6.81,1.46,0.56,0.76,2.78,59.18,20.03,72.9,2100.65,7.09
2028,North America,31.98,28.99,5525,1912,1589,4.75,2.64,0.97,8.36,1.45,0.36,0.28,2.09,75.0,23.21,94.49,4413.95,6.05
2026,Asia-Pacific,41.06,27.23,6614,2262,723,3.33,2.84,1.86,8.03,0.68,0.65,0.74,2.07,74.22,16.41,85.7,271.99,8.38
2024,Asia-Pacific,12.66,29.58,5564,3201,1537,1.54,2.09,1.24,4.87,1.48,0.48,0.73,2.69,44.76,19.04,79.42,581.83,6.24
2028,Asia-Pacific,18.17,21.72,14206,3721,517,4.12,1.3,1.32,6.74,2.62,0.23,0.26,3.11,53.86,29.6,94.01,1514.71,4.29
2028,Europe,12.16,33.96,19500,3677,757,4.68,2.17,1.21,8.06,1.15,1.0,0.61,2.76,65.76,6.34,90.25,1463.15,8.38
2024,Asia-Pacific,42.57,21.31,8488,2688,1047,4.9,1.33,0.95,7.18,2.3,0.34,0.21,2.85,60.31,11.61,72.68,3562.66,3.83
2027,North America,11.97,23.99,10552,3701,976,4.66,0.66,0.52,5.84,0.74,0.8,0.12,1.66,71.58,14.8,93.02,746.83,8.89
2024,Europe,11.77,17.37,18938,2442,1604,4.88,2.84,1.41,9.13,1.56,0.34,0.34,2.24,75.47,29.46,93.5,560.3,7.95
2028,Middle East,10.57,26.72,10946,2036,1075,4.66,0.82,0.42,5.9,1.12,0.75,0.44,2.31,60.85,28.53,94.01,3957.43,8.37
2028,Middle East,38.31,15.18,10096,3475,1916,4.92,1.99,1.37,8.28,1.91,0.74,0.13,2.78,66.43,23.09,73.22,4627.8,8.63
2026,North America,11.66,30.9,5871,3419,1702,3.23,2.54,1.97,7.74,1.81,0.93,0.49,3.23,58.27,27.43,72.78,4565.42,5.71
2027,Asia-Pacific,37.08,32.58,15450,1027,1153,4.65,2.26,0.18,7.09,2.32,0.51,0.66,3.49,50.78,29.9,73.01,2486.63,9.03
2024,South America,30.52,25.36,11564,2349,1432,2.69,2.75,1.92,7.36,1.41,0.41,0.52,2.34,68.21,19.33,71.3,2605.35,8.91
2027,Asia-Pacific,47.29,29.28,6399,4480,958,4.13,2.46,0.96,7.55,1.68,0.25,0.66,2.59,65.7,19.74,84.61,4531.04,2.95
2027,North America,49.59,33.72,17996,2735,731,4.28,2.8,0.34,7.42,1.76,0.68,0.65,3.09,58.36,19.98,71.18,116.26,5.95
2024,Asia-Pacific,41.73,22.5,7716,3020,1098,4.41,1.3,1.3,7.01,1.81,0.33,0.18,2.32,66.9,12.78,75.86,2793.95,7.18
2026,South America,35.85,29.6,14074,5000,1967,1.73,2.29,1.66,5.68,0.76,0.35,0.3,1.41,75.18,25.31,70.62,1132.56,2.88
2027,South America,21.44,33.12,19262,3147,1199,1.36,2.61,1.84,5.81,0.99,0.59,0.28,1.86,67.99,8.67,85.47,3000.61,2.26
2027,North America,26.74,16.62,8761,2670,838,3.2,1.17,0.25,4.62,2.12,0.31,0.51,2.94,36.36,21.12,75.18,1436.66,5.11
2025,Europe,48.23,28.76,15046,4111,827,2.76,1.18,0.14,4.08,1.19,0.85,0.12,2.16,47.06,11.67,94.53,2352.33,4.26
2025,Middle East,42.13,17.48,18059,3261,1730,4.86,2.21,1.27,8.34,2.55,0.33,0.13,3.01,63.91,10.35,75.6,240.99,2.21
2028,North America,26.63,33.45,8009,3283,1454,2.67,0.85,1.14,4.66,1.24,0.21,0.2,1.65,64.59,27.66,91.22,953.42,6.7
2025,South America,14.05,22.55,15509,2201,1825,1.92,1.9,1.38,5.2,0.97,0.52,0.27,1.76,66.15,22.25,90.81,4086.11,5.87
2028,South America,46.88,19.13,19780,1649,1554,1.93,0.31,1.19,3.43,0.74,1.0,0.39,2.13,37.9,20.58,81.85,2901.54,5.11
2026,North America,48.09,24.74,16410,4471,999,3.25,0.51,1.91,5.67,1.18,0.46,0.52,2.16,61.9,8.12,81.49,2164.18,6.81
2024,Middle East,46.09,26.67,19129,2460,1123,1.26,2.19,0.92,4.37,1.88,0.9,0.43,3.21,26.54,9.9,85.31,4036.16,7.24
2027,Middle East,27.71,21.39,5530,3433,1949,3.76,1.18,0.4,5.34,2.11,0.96,0.57,3.64,31.84,26.27,85.08,3191.23,3.88
2027,Middle East,35.17,18.68,6870,2522,1838,3.57,0.82,0.72,5.11,2.02,0.54,0.15,2.71,46.97,14.79,94.85,3137.73,3.09
2025,Asia-Pacific,27.86,17.47,6404,4985,625,2.92,0.86,1.59,5.37,2.89,0.34,0.49,3.72,30.73,29.17,94.8,3402.51,7.42
2027,Europe,47.88,26.16,14384,2172,1025,2.19,1.01,1.99,5.19,2.19,0.5,0.75,3.44,33.72,20.87,79.19,3076.81,6.12
2024,Middle East,31.5,19.64,9096,3826,1704,4.74,0.33,1.27,6.34,1.39,0.65,0.35,2.39,62.3,11.21,78.2,4534.67,7.28
2025,North America,39.78,17.31,9180,2391,1486,3.71,0.27,1.61,5.59,1.53,0.88,0.66,3.07,45.08,5.06,73.78,1019.99,3.42
2028,Europe,33.88,23.84,6003,1947,1892,3.44,1.91,1.99,7.34,0.54,0.63,0.62,1.79,75.61,9.82,87.01,3138.99,4.27
2027,Asia-Pacific,29.02,33.49,13788,3889,1214,2.67,2.23,1.07,5.97,0.71,0.98,0.65,2.34,60.8,27.42,94.14,1112.98,5.64
2027,Europe,29.27,24.52,11876,4512,821,3.29,1.93,0.48,5.7,0.93,0.33,0.34,1.6,71.93,17.33,76.85,4486.57,6.5
2024,Middle East,29.35,34.72,14604,3332,1264,4.13,2.52,0.69,7.34,1.25,0.26,0.43,1.94,73.57,13.75,90.87,4862.4,7.0
2027,Asia-Pacific,42.71,26.49,11055,2974,1022,1.81,1.35,0.94,4.1,0.73,0.85,0.26,1.84,55.12,10.89,92.72,4321.53,9.15
2024,Europe,44.83,32.71,10257,1828,1835,4.98,2.57,0.43,7.98,1.4,0.76,0.4,2.56,67.92,21.2,77.7,1087.06,6.84
2028,Europe,42.41,23.65,7443,4424,1750,1.47,1.29,1.45,4.21,1.11,0.36,0.14,1.61,61.76,22.81,78.86,495.32,6.27
2025,South America,30.06,15.34,8372,3602,705,3.7,2.17,1.98,7.85,2.83,0.71,0.34,3.88,50.57,22.6,71.96,3158.65,4.41
2028,North America,20.09,15.41,19735,4910,1757,3.51,1.02,1.51,6.04,1.29,0.98,0.26,2.53,58.11,13.31,76.55,4450.97,6.06
2028,North America,23.0,33.58,17665,3539,584,4.4,2.28,0.85,7.53,1.97,0.42,0.43,2.82,62.55,28.48,71.34,4662.83,9.2
2024,Asia-Pacific,24.97,34.46,7325,4012,1183,2.49,2.45,1.32,6.26,2.91,0.73,0.1,3.74,40.26,8.9,83.5,2910.77,8.6
2025,North America,42.33,25.73,14060,4677,1343,3.57,0.34,0.16,4.07,2.82,0.72,0.63,4.17,-2.46,29.8,89.54,3767.56,8.74
2028,Asia-Pacific,29.55,18.44,14147,2471,1735,4.55,0.42,1.42,6.39,1.28,0.68,0.43,2.39,62.6,18.41,76.15,1557.51,5.93
2024,Asia-Pacific,32.81,26.51,5584,2938,1966,2.01,2.8,0.92,5.73,1.73,0.35,0.57,2.65,53.75,8.06,78.14,1276.68,3.33
2028,South America,26.15,31.02,7731,3439,1649,3.09,2.31,0.45,5.85,1.91,0.84,0.2,2.95,49.57,12.25,82.64,1079.1,7.9
2026,Middle East,26.86,33.7,12495,3959,1415,2.61,2.51,0.64,5.76,2.06,0.4,0.1,2.56,55.56,16.56,89.46,223.72,8.78
2025,South America,41.5,26.11,5916,4577,1350,2.24,1.91,0.88,5.03,2.6,0.77,0.19,3.56,29.22,9.03,86.69,2101.77,9.1
2028,Europe,45.55,26.51,18444,3095,1868,1.41,2.15,1.69,5.25,1.8,0.57,0.58,2.95,43.81,7.23,84.78,1226.4,8.61
2027,North America,21.53,29.39,9539,1059,1222,1.54,2.93,0.62,5.09,0.81,0.2,0.55,1.56,69.35,23.52,77.85,535.63,3.12
2028,Middle East,35.89,16.75,5534,4577,1058,2.83,0.66,1.64,5.13,0.98,0.38,0.55,1.91,62.77,6.56,91.93,3834.23,3.21
2028,Asia-Pacific,45.97,19.11,7673,1211,1649,1.95,1.52,0.79,4.26,2.36,0.92,0.2,3.48,18.31,22.05,91.34,3933.38,2.84
2024,Europe,31.36,31.03,12270,1110,939,4.84,2.36,0.82,8.02,0.58,0.93,0.3,1.81,77.43,27.62,84.85,2959.12,8.55
2024,Middle East,35.94,24.17,18116,2431,695,2.78,0.51,0.57,3.86,0.58,0.27,0.5,1.35,65.03,18.05,73.9,269.96,3.13
2026,Asia-Pacific,14.48,28.86,5592,1126,1714,5.0,0.64,1.88,7.52,0.52,0.46,0.35,1.33,82.31,21.25,73.49,1073.2,6.44
2028,North America,30.65,18.16,5628,2820,1099,3.33,0.95,1.32,5.6,0.96,0.26,0.77,1.99,64.46,24.85,72.47,1360.64,8.59
2028,South America,26.07,15.35,14069,1758,1579,1.55,1.68,1.43,4.66,1.95,0.8,0.26,3.01,35.41,5.07,73.05,2173.18,4.79
2028,Europe,28.5,24.0,19653,3038,503,3.43,2.28,0.76,6.47,2.5,0.83,0.74,4.07,37.09,7.1,91.67,1049.47,3.74
2026,South America,41.65,34.78,8051,4785,1553,4.0,2.5,0.57,7.07,2.74,0.29,0.62,3.65,48.37,15.89,75.15,2391.29,4.79
2026,South America,43.49,21.45,7193,2363,1455,2.49,2.65,0.47,5.61,0.66,0.67,0.57,1.9,66.13,19.89,72.93,3367.76,4.87
2025,Middle East,27.39,21.55,10363,4049,1421,2.88,2.39,1.53,6.8,2.92,0.62,0.27,3.81,43.97,15.91,74.17,4143.92,3.35
2028,Asia-Pacific,23.93,16.71,18982,2268,574,4.17,2.84,1.01,8.02,1.43,0.2,0.36,1.99,75.19,29.26,71.86,4060.97,4.97
2025,South America,33.51,34.27,7814,1567,1506,0.52,1.07,1.63,3.22,2.21,0.81,0.45,3.47,-7.76,16.39,84.48,3468.54,9.89
2028,Middle East,12.4,32.48,19558,2238,1838,4.96,2.58,1.16,8.7,2.58,0.43,0.23,3.24,62.76,26.79,94.67,4615.51,8.31
2027,Europe,14.69,29.33,18245,1709,1510,2.83,0.94,1.36,5.13,2.69,0.33,0.58,3.6,29.82,6.4,77.22,4965.64,4.01
2024,Middle East,13.3,15.52,5534,3825,533,3.97,0.67,0.91,5.55,2.41,0.87,0.37,3.65,34.23,5.55,75.31,3909.28,3.72
2028,Europe,18.15,18.03,18986,2443,1551,2.49,0.9,1.45,4.84,1.82,0.29,0.23,2.34,51.65,20.84,80.6,2778.06,8.96
2024,South America,44.08,30.46,13888,2462,849,0.62,0.87,0.39,1.88,2.81,0.91,0.65,4.37,-132.45,11.7,92.65,3475.98,4.47
2028,North America,10.24,32.25,6687,4890,1648,2.09,1.37,1.48,4.94,1.77,0.94,0.55,3.26,34.01,13.37,77.48,1562.87,4.61
2028,North America,39.14,27.46,14367,2716,657,3.6,0.41,1.36,5.37,2.42,0.95,0.34,3.71,30.91,13.88,92.38,1880.5,9.44
2025,Europe,36.83,25.38,7587,3546,971,0.68,1.26,0.51,2.45,1.97,0.58,0.34,2.89,-17.96,7.29,75.92,3756.13,7.85
2028,Asia-Pacific,21.13,29.73,12276,1106,859,3.51,1.83,1.1,6.44,1.97,0.43,0.33,2.73,57.61,15.96,71.25,898.51,3.51
2025,Europe,45.78,18.62,8534,1676,613,4.54,2.94,1.93,9.41,2.88,0.33,0.44,3.65,61.21,28.65,73.29,3532.2,6.54
2027,Middle East,35.23,21.55,19120,1235,1588,3.56,1.66,1.37,6.59,1.94,0.74,0.56,3.24,50.83,7.48,83.61,1084.12,3.03
2026,Middle East,19.85,16.82,19966,2381,691,3.01,2.56,0.91,6.48,1.18,0.77,0.54,2.49,61.57,5.41,82.31,3946.2,5.56
2024,Middle East,26.82,19.47,13448,2983,1635,0.88,0.32,1.67,2.87,2.47,0.52,0.69,3.68,-28.22,22.54,75.25,3573.74,5.58
2026,Asia-Pacific,25.04,33.31,18094,3990,772,2.85,2.67,0.14,5.66,2.46,0.86,0.64,3.96,30.04,20.39,85.2,3139.97,7.86
2025,South America,27.64,15.65,6732,3529,862,1.8,2.81,1.41,6.02,1.3,0.47,0.68,2.45,59.3,16.57,74.31,1489.04,5.17
2024,North America,27.12,34.63,17568,4237,1012,2.33,2.27,1.8,6.4,1.12,0.71,0.73,2.56,60.0,7.98,88.36,589.11,9.05
2024,South America,37.5,34.43,8666,3111,1456,2.22,2.22,1.53,5.97,1.48,0.94,0.67,3.09,48.24,17.19,93.74,2698.48,2.63
2026,South America,33.52,20.45,5617,4347,1651,2.25,2.19,1.98,6.42,1.86,0.79,0.19,2.84,55.76,16.7,83.62,1930.34,4.63
2025,Asia-Pacific,16.43,30.21,11276,2395,625,3.43,2.13,1.81,7.37,1.76,0.4,0.12,2.28,69.06,11.73,70.51,195.61,8.13
2027,Middle East,17.6,27.14,17313,4932,1513,1.5,0.76,1.75,4.01,2.77,0.58,0.56,3.91,2.49,8.05,90.75,4939.64,9.73
2024,Middle East,18.73,16.65,7492,2319,1925,4.19,2.09,0.79,7.07,1.07,0.74,0.38,2.19,69.02,10.71,72.42,251.94,9.97
2028,Europe,25.73,19.11,8277,4422,1189,2.74,1.54,1.35,5.63,2.35,0.47,0.46,3.28,41.74,5.8,89.94,2970.77,8.98
2027,South America,44.42,16.83,15997,4472,902,1.15,2.58,0.86,4.59,1.65,0.49,0.26,2.4,47.71,9.43,74.97,3517.27,8.29
2025,Asia-Pacific,21.15,30.57,11698,3968,999,1.3,0.25,1.58,3.13,1.92,0.35,0.54,2.81,10.22,24.39,86.95,882.45,6.44
2026,North America,42.39,24.84,11454,2674,1531,2.36,1.22,1.77,5.35,2.04,0.39,0.77,3.2,40.19,6.78,82.18,3592.26,9.36
2028,Middle East,46.05,16.08,17516,1140,1946,2.3,2.47,0.83,5.6,1.08,0.66,0.21,1.95,65.18,12.8,70.63,2397.63,9.82
2027,Middle East,25.69,29.99,9023,3331,1977,3.23,0.82,1.77,5.82,1.37,0.59,0.58,2.54,56.36,15.14,78.73,3778.63,4.38
2025,Europe,13.26,29.5,7583,4791,1531,1.57,1.66,0.69,3.92,2.28,0.27,0.58,3.13,20.15,19.5,79.6,744.34,5.45
2028,Europe,25.7,28.37,18373,4122,747,3.69,1.39,1.87,6.95,2.51,0.54,0.7,3.75,46.04,7.11,74.02,2862.52,5.86
2027,Europe,24.16,29.84,11327,2081,1270,3.37,3.0,1.42,7.79,1.97,0.71,0.16,2.84,63.54,27.46,82.85,237.6,3.27
2026,South America,43.63,20.69,16499,3383,780,2.64,0.32,0.11,3.07,1.93,1.0,0.79,3.72,-21.17,7.34,85.01,2842.62,3.07
2027,Europe,10.95,34.52,10194,1854,1771,3.05,0.22,1.57,4.84,2.79,0.8,0.43,4.02,16.94,28.76,70.42,2540.61,4.79
2028,South America,48.69,26.51,11968,2174,1291,4.81,2.79,1.91,9.51,1.92,0.47,0.48,2.87,69.82,13.09,79.65,2213.97,8.17
2024,Europe,46.0,30.9,11399,1020,898,1.41,2.03,1.34,4.78,1.53,0.83,0.76,3.12,34.73,14.79,78.91,4083.78,4.57
2024,North America,39.84,30.14,9142,3580,1860,4.05,1.94,1.27,7.26,0.52,0.23,0.7,1.45,80.03,17.26,89.22,4381.79,8.25
2026,South America,15.01,25.09,6489,4364,698,4.83,2.09,0.14,7.06,0.94,0.39,0.64,1.97,72.1,12.23,84.31,1521.74,8.95
2026,Middle East,13.99,25.13,5629,2277,1144,1.38,0.55,0.36,2.29,1.45,0.9,0.5,2.85,-24.45,9.77,88.98,2726.35,7.37
2026,Middle East,17.58,16.35,11556,1707,1443,2.84,2.2,0.13,5.17,1.95,0.98,0.55,3.48,32.69,20.86,93.9,1629.97,3.62
2024,Asia-Pacific,17.16,31.28,17199,4049,1362,1.96,2.35,0.23,4.54,1.3,0.27,0.45,2.02,55.51,13.41,92.27,3172.39,3.76
2026,Europe,12.14,24.63,5812,3278,1002,0.51,1.48,1.04,3.03,2.7,0.44,0.2,3.34,-10.23,18.11,93.65,764.96,6.82
2025,Middle East,36.02,27.62,10196,1415,1357,1.51,2.18,0.6,4.29,1.6,0.88,0.66,3.14,26.81,18.73,85.57,360.34,5.04
2027,Europe,47.12,23.78,16605,2463,1570,4.61,2.04,1.88,8.53,3.0,0.35,0.42,3.77,55.8,26.3,71.01,574.16,8.32
2026,Asia-Pacific,18.24,21.28,18836,4648,1334,1.01,0.29,0.46,1.76,2.52,0.24,0.49,3.25,-84.66,29.58,84.19,3100.06,4.7
2025,Europe,24.17,25.1,7973,4007,603,2.86,1.11,1.24,5.21,1.95,0.92,0.22,3.09,40.69,13.34,77.3,2004.16,4.78
2027,North America,29.39,20.5,11487,1613,1349,1.34,2.5,0.52,4.36,2.99,0.65,0.38,4.02,7.8,27.24,77.65,601.93,5.45
2024,North America,28.0,16.0,17296,2052,1018,2.51,0.43,1.81,4.75,1.28,0.24,0.51,2.03,57.26,15.73,73.18,3463.3,5.87
2027,Europe,30.51,29.52,10695,4421,1441,3.26,0.95,1.8,6.01,2.41,0.54,0.68,3.63,39.6,12.76,87.47,4301.52,3.25
2026,Middle East,22.56,34.75,16272,3301,936,0.64,2.4,0.86,3.9,2.76,0.53,0.28,3.57,8.46,25.76,89.98,4028.3,6.33
2025,North America,24.64,30.57,14598,2369,1800,1.67,2.13,1.53,5.33,0.72,0.47,0.72,1.91,64.17,27.24,79.91,2613.74,4.71
2024,South America,24.37,15.43,7228,2472,685,4.16,0.68,0.83,5.67,1.88,0.53,0.6,3.01,46.91,8.72,76.4,2766.13,4.1
2027,North America,26.45,25.11,6249,1963,1479,0.71,1.38,0.2,2.29,0.65,0.42,0.75,1.82,20.52,13.32,76.19,4832.31,2.34
2027,North America,42.81,31.4,13268,3062,1090,2.99,2.99,1.43,7.41,1.93,0.73,0.11,2.77,62.62,23.86,87.54,3090.15,9.21
